Parameters: 1037249 Seed: 1234
Epoch	lr		Loss(Tr)	RMSE (val)	MAE(val)
0	0.0009970	547.6217		22.2502		16.0244
1	0.0009939	551.6022		13.0145		10.1732
2	0.0009907	544.5120		11.8993		9.2945
3	0.0009875	667.0400		10.9744		9.3078
4	0.0009843	572.1975		11.3587		8.7045
5	0.0009812	563.5174		11.7387		8.7251
6	0.0009780	671.6470		11.7165		8.8674
7	0.0009748	590.3252		13.0489		10.1402
8	0.0009717	584.1305		11.3850		8.9692
9	0.0009685	501.6497		11.8261		8.7024
10	0.0009653	574.7080		11.9834		8.8452
11	0.0009621	585.4564		11.6953		8.8179
12	0.0009590	593.6483		11.6707		8.6430
13	0.0009558	506.8348		11.7821		8.8530
14	0.0009526	292.5989		11.4070		8.7139
15	0.0009495	629.4450		11.7692		9.2243
16	0.0009463	507.0729		13.0052		10.0335
17	0.0009431	522.1138		11.6034		8.7034
18	0.0009399	582.1136		11.5428		8.7957
19	0.0009367	544.3219		12.5956		9.9383
20	0.0009336	553.8663		11.9998		8.8376
21	0.0009304	421.8454		12.2251		9.2087
22	0.0009272	579.5577		14.5721		11.3241
23	0.0009240	630.6384		11.8574		8.8537
24	0.0009209	258.8033		11.2967		8.7070
25	0.0009177	286.8608		11.4307		8.7298
26	0.0009145	632.1194		11.9594		9.0955
27	0.0009113	650.4161		12.2866		9.1937
28	0.0009081	496.1312		12.3963		9.3949
29	0.0009049	603.5631		12.2118		9.0711
30	0.0009018	620.5135		12.2794		9.1166
31	0.0008986	631.3353		11.9531		9.0929
32	0.0008954	624.3812		11.5907		8.9892
33	0.0008922	563.7069		12.1642		8.8919
34	0.0008890	571.6678		11.6714		9.1429
35	0.0008858	614.1164		12.1442		9.3588
36	0.0008826	644.8577		12.1826		9.4272
37	0.0008795	426.1552		12.2815		9.6903
38	0.0008763	621.1832		12.0848		8.7031
39	0.0008731	469.8983		11.6314		9.0952
40	0.0008699	546.9231		12.0897		8.9347
41	0.0008667	609.5315		11.7864		9.0365
42	0.0008635	655.5433		11.8392		8.9186
43	0.0008603	558.3198		12.0392		9.2725
44	0.0008571	618.2454		11.4572		8.8207
45	0.0008539	555.7067		13.9324		10.8951
46	0.0008507	632.7193		12.3267		9.1071
47	0.0008475	610.1427		11.3600		9.4032
48	0.0008443	495.5060		12.1830		9.2930
49	0.0008412	626.3798		13.0544		9.7411
50	0.0008380	692.2193		11.5500		8.7217
51	0.0008348	559.5893		11.4860		8.9917
52	0.0008316	541.6235		12.5468		9.4312
53	0.0008284	619.5469		12.0279		8.9944
54	0.0008252	218.9887		11.7266		8.9549
55	0.0008220	624.2439		11.9482		8.8764
56	0.0008188	610.8436		11.7789		8.9246
57	0.0008156	509.8878		12.1706		8.8398
58	0.0008124	640.2916		11.2718		8.9109
59	0.0008092	518.8654		12.2367		9.6561
60	0.0008060	629.5470		12.2529		9.3626
61	0.0008028	496.1699		11.0128		9.2888
62	0.0007996	438.9232		11.6566		8.9142
63	0.0007964	534.2547		12.8797		10.0207
64	0.0007931	599.5909		12.5796		9.7545
65	0.0007899	591.4504		11.9882		9.0703
66	0.0007867	477.7706		12.1538		9.4606
67	0.0007835	604.8521		11.8065		8.9359
68	0.0007803	704.5464		11.8330		9.3520
69	0.0007771	711.0002		12.6984		9.6650
70	0.0007739	609.1531		11.5466		8.7515
71	0.0007707	608.0881		11.8594		8.7272
72	0.0007675	701.3749		11.7817		8.8597
73	0.0007643	600.4152		11.6745		8.9697
74	0.0007611	501.3387		11.8347		8.9411
75	0.0007578	574.1429		11.7471		8.8208
76	0.0007546	557.5005		13.1563		9.9522
77	0.0007514	303.6262		12.8100		10.1836
78	0.0007482	591.2819		12.2593		9.5449
79	0.0007450	646.9100		12.0990		9.1679
80	0.0007418	577.0095		11.2779		8.7648
81	0.0007385	643.4009		12.4004		8.8991
82	0.0007353	513.6396		12.2753		9.5350
83	0.0007321	522.0165		11.7334		8.7547
84	0.0007289	544.6759		12.1588		8.8912
85	0.0007257	588.9687		10.5597		8.8452
86	0.0007225	344.5939		12.0175		8.7034
87	0.0007192	537.4754		12.5233		9.4896
88	0.0007160	654.4665		12.8253		9.4563
89	0.0007128	514.7876		10.9897		9.1319
90	0.0007096	485.7351		11.5346		8.7754
91	0.0007063	479.7793		11.7933		9.0424
92	0.0007031	581.0132		11.6460		9.0916
93	0.0006999	605.3725		12.7401		10.0562
94	0.0006967	626.9746		12.0255		9.2350
95	0.0006934	686.8204		11.4381		8.8303
96	0.0006902	566.0701		11.5645		8.7725
97	0.0006870	623.8265		11.6174		9.2001
98	0.0006837	563.4517		10.7988		9.1293
99	0.0006805	513.3916		11.4091		8.7787
100	0.0006773	486.4142		11.7295		9.2206
101	0.0006740	637.2772		13.1272		9.6380
102	0.0006708	508.0151		11.9428		8.8415
103	0.0006676	542.9825		11.9738		8.7234
104	0.0006643	518.5870		11.2284		8.8284
105	0.0006611	684.0610		11.4951		8.7618
106	0.0006579	638.4811		12.0341		8.7684
107	0.0006546	470.4826		12.2608		8.9599
108	0.0006514	523.2755		12.2903		9.0583
109	0.0006482	615.6270		11.6947		8.8290
110	0.0006449	493.4535		12.2065		8.7944
111	0.0006417	572.5498		10.9752		8.6924
112	0.0006384	606.4636		10.5568		8.7929
113	0.0006352	560.4409		11.2827		8.9424
114	0.0006319	500.1677		11.8189		8.7527
115	0.0006287	613.0562		11.4017		8.7312
116	0.0006255	584.4325		11.1481		8.8044
117	0.0006222	586.6537		10.3053		8.7376
118	0.0006190	614.7602		14.4078		11.9927
119	0.0006157	675.2641		12.2232		8.8295
120	0.0006125	482.0656		12.1368		8.9536
121	0.0006092	568.2878		12.4119		9.1388
122	0.0006060	554.9460		11.7504		8.9419
123	0.0006027	517.2274		11.7783		8.8338
124	0.0005995	499.1282		12.1385		8.7410
125	0.0005962	567.1359		12.1210		9.0418
126	0.0005930	520.8313		11.4687		8.7802
127	0.0005897	581.7480		11.3167		8.5818
128	0.0005864	572.4177		11.3965		8.5417
129	0.0005832	476.9030		12.9585		9.8634
130	0.0005799	612.0474		11.0215		8.6037
